step,n_active,clifft_dense_bytes,ttn_stored_bytes,near_clifft_bytes,near_clifft_qubits,near_clifft_bytes_resident,near_clifft_qubits_resident,dense_over_ttn,dense_over_nc
241,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
242,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
243,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
244,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
245,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
246,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
247,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
248,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
249,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
250,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
251,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
252,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
253,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
254,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
255,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
256,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
257,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
258,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
259,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
260,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
261,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
262,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
263,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
264,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
265,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
266,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
267,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
268,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
269,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
270,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
271,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
272,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
273,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
274,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
275,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
276,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
277,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
278,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
279,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
280,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
281,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
282,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
283,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
284,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
285,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
286,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
287,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
288,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
289,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
290,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
291,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
292,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
293,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
294,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
295,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
296,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
297,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
298,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
299,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
300,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
301,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
302,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
303,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
304,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
305,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
306,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
307,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
308,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
309,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
310,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
311,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
312,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
313,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
314,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
315,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
316,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
317,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
318,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
319,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
320,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
321,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
322,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
323,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
324,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
325,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
326,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
327,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
328,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
329,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
330,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
331,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
332,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
333,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
334,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
335,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
336,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
337,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
338,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
339,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
340,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
341,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
342,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
343,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
344,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
345,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
346,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
347,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
348,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
349,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
350,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
351,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
352,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
353,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
354,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
355,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
356,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
357,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
358,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
359,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
360,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
361,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
362,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
363,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
364,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
365,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
366,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
367,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
368,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
369,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
370,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
371,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
372,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
373,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
374,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
375,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
376,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
377,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
378,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
379,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
380,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
381,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
382,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
383,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
384,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
385,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
386,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
387,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
388,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
389,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
390,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
391,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
392,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
393,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
394,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
395,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
396,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
397,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
398,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
399,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
400,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
401,4,256,1104,428,3,428,3,0.2318840579710145,0.5981308411214953
402,4,256,864,428,3,428,3,0.2962962962962963,0.5981308411214953
403,3,128,864,476,4,348,3,0.14814814814814814,0.2689075630252101
404,3,128,864,348,3,348,3,0.14814814814814814,0.367816091954023
405,3,128,864,348,3,348,3,0.14814814814814814,0.367816091954023
406,3,128,864,348,3,348,3,0.14814814814814814,0.367816091954023
407,3,128,848,348,3,348,3,0.1509433962264151,0.367816091954023
408,3,128,848,348,3,348,3,0.1509433962264151,0.367816091954023
409,3,128,544,348,3,348,3,0.23529411764705882,0.367816091954023
410,2,64,544,348,3,308,3,0.11764705882352941,0.1839080459770115
411,2,64,544,308,3,308,3,0.11764705882352941,0.2077922077922078
412,2,64,544,308,3,308,3,0.11764705882352941,0.2077922077922078
413,2,64,544,308,3,308,3,0.11764705882352941,0.2077922077922078
414,2,64,544,308,3,308,3,0.11764705882352941,0.2077922077922078
415,2,64,544,308,3,308,3,0.11764705882352941,0.2077922077922078
416,2,64,544,308,3,308,3,0.11764705882352941,0.2077922077922078
417,2,64,544,308,3,308,3,0.11764705882352941,0.2077922077922078
418,2,64,544,308,3,308,3,0.11764705882352941,0.2077922077922078
